,label,missing_ccs_fin,TLS0:tcp.srcport,TLS0:tcp.dstport,TLS0:tcp.port,TLS0:tcp.stream,TLS0:tcp.len,TLS0:tcp.seq,TLS0:tcp.nxtseq,TLS0:tcp.ack,TLS0:tcp.hdr_len,TLS0:tcp.flags.res,TLS0:tcp.flags.ns,TLS0:tcp.flags.cwr,TLS0:tcp.flags.ecn,TLS0:tcp.flags.urg,TLS0:tcp.flags.ack,TLS0:tcp.flags.push,TLS0:tcp.flags.reset,TLS0:tcp.flags.syn,TLS0:tcp.flags.fin,TLS0:tcp.window_size_value,TLS0:tcp.window_size,TLS0:tcp.window_size_scalefactor,TLS0:tcp.checksum.status,TLS0:tcp.urgent_pointer,TLS0:tcp.options.nop,TLS0:tcp.option_kind,TLS0:tcp.option_len,TLS0:tcp.options.timestamp.tsval,TLS0:tcp.time_delta,TLS0:ssl.record.content_type,TLS0:ssl.record.length,TLS0:ssl.alert_message.level,TLS0:ssl.alert_message.desc,TLS0:order,DISC0:tcp.srcport,DISC0:tcp.dstport,DISC0:tcp.port,DISC0:tcp.stream,DISC0:tcp.len,DISC0:tcp.seq,DISC0:tcp.nxtseq,DISC0:tcp.ack,DISC0:tcp.hdr_len,DISC0:tcp.flags.res,DISC0:tcp.flags.ns,DISC0:tcp.flags.cwr,DISC0:tcp.flags.ecn,DISC0:tcp.flags.urg,DISC0:tcp.flags.ack,DISC0:tcp.flags.push,DISC0:tcp.flags.reset,DISC0:tcp.flags.syn,DISC0:tcp.flags.fin,DISC0:tcp.window_size_value,DISC0:tcp.window_size,DISC0:tcp.window_size_scalefactor,DISC0:tcp.checksum.status,DISC0:tcp.urgent_pointer,DISC0:tcp.options.nop,DISC0:tcp.option_kind,DISC0:tcp.option_len,DISC0:tcp.options.timestamp.tsval,DISC0:tcp.time_delta,DISC0:order,DISC1:tcp.srcport,DISC1:tcp.dstport,DISC1:tcp.port,DISC1:tcp.stream,DISC1:tcp.len,DISC1:tcp.seq,DISC1:tcp.nxtseq,DISC1:tcp.ack,DISC1:tcp.hdr_len,DISC1:tcp.flags.res,DISC1:tcp.flags.ns,DISC1:tcp.flags.cwr,DISC1:tcp.flags.ecn,DISC1:tcp.flags.urg,DISC1:tcp.flags.ack,DISC1:tcp.flags.push,DISC1:tcp.flags.reset,DISC1:tcp.flags.syn,DISC1:tcp.flags.fin,DISC1:tcp.window_size_value,DISC1:tcp.window_size,DISC1:tcp.window_size_scalefactor,DISC1:tcp.checksum.status,DISC1:tcp.urgent_pointer,DISC1:tcp.options.nop,DISC1:tcp.option_kind,DISC1:tcp.option_len,DISC1:tcp.options.timestamp.tsval,DISC1:tcp.time_delta,DISC1:order
0,0x00_on_the_last_position__(|PMS|_=_0),False,4433,42270,4433,1,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001645,0.001642,21,2,2,20,0,4433,42270,4433,1,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001646,5.2e-05,1,4433,42270,4433,1,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001647,1e-05,2
1,Invalid_TLS_version_in_PMS,False,4433,42274,4433,2,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001679,0.001102,21,2,2,20,0,4433,42274,4433,2,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001679,5.4e-05,1,4433,42274,4433,2,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001680,1.2e-05,2
2,0x00_in_some_padding_byte,False,4433,42278,4433,3,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001703,0.001107,21,2,2,20,0,4433,42278,4433,3,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001703,4.7e-05,1,4433,42278,4433,3,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001705,1.1e-05,2
3,Wrong_first_byte_(0x00_set_to_0x17),False,4433,42282,4433,4,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001723,0.001066,21,2,2,40,0,4433,42282,4433,4,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001723,6.5e-05,1,4433,42282,4433,4,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001723,1.1e-05,2
4,0x00_on_the_next_to_last_position_(|PMS|_=_1),False,4433,42286,4433,5,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001748,0.001094,21,2,2,20,0,4433,42286,4433,5,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001748,4.8e-05,1,4433,42286,4433,5,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001749,1.2e-05,2
5,Correctly_formatted_PKCS#1_message__(|PMS|_=_47),False,4433,42290,4433,6,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001770,0.001246,21,2,2,20,0,4433,42290,4433,6,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001770,4.4e-05,1,4433,42290,4433,6,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001771,1.5e-05,2
6,Invalid_TLS_version_in_PMS,False,4433,42294,4433,7,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001793,0.001245,21,2,2,20,0,4433,42294,4433,7,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001793,4.2e-05,1,4433,42294,4433,7,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001794,1.2e-05,2
7,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42298,4433,8,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001816,0.001178,21,2,2,40,0,4433,42298,4433,8,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001816,6e-05,1,4433,42298,4433,8,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001816,1.1e-05,2
8,No_0x00_in_message,False,4433,42302,4433,9,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001838,0.001002,21,2,2,40,0,4433,42302,4433,9,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001838,4.6e-05,1,4433,42302,4433,9,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001838,1e-05,2
9,Wrong_first_byte_(0x00_set_to_0x17),False,4433,42306,4433,10,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001855,0.001029,21,2,2,40,0,4433,42306,4433,10,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001855,4.5e-05,1,4433,42306,4433,10,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001855,1e-05,2
