,Dataset,Model,Accuracy,Accuracy-std,F1-Score,F1-Score-std,AUC-Score,AUC-Score-std,Cohen-Kappa,Cohen-Kappa-std,MathewsCorrelationCoefficient,MathewsCorrelationCoefficient-std,Informedness,Informedness-std,fisher-pval-single,fisher-pval-sum,fisher-pval-median,fisher-pval-mean,fisher-pval-holm-bonferroni,corrected-ttest-pval-random,corrected-ttest-pval-majority,corrected-ttest-pval-prior,ttest-pval-random,ttest-pval-majority,ttest-pval-prior,wilcoxon-pval-random,wilcoxon-pval-majority,wilcoxon-pval-prior,fisher-pval-single-rejected,fisher-pval-sum-rejected,fisher-pval-median-rejected,fisher-pval-mean-rejected,fisher-pval-holm-bonferroni-rejected,corrected-ttest-pval-random-rejected,corrected-ttest-pval-majority-rejected,corrected-ttest-pval-prior-rejected,ttest-pval-random-rejected,ttest-pval-majority-rejected,ttest-pval-prior-rejected,wilcoxon-pval-random-rejected,wilcoxon-pval-majority-rejected,wilcoxon-pval-prior-rejected
0,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),RandomClassifier,0.4931,0.0691,0.5281,0.0735,0.5,0.0,-0.012,0.1383,-0.0113,0.1442,-0.0118,0.1448,0.380129043595389,0.9051938480667692,0.851599012523813,0.7393682857819209,1.0,1.0,0.11237098852208618,0.7055170445935635,1.0,0.0029069082046104637,0.3931199716341175,1.0,0.009765625,0.3603613229883825,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),MajorityVoting,0.5862,0.0,0.7391,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11237098852208618,1.0,0.3336610574251987,0.0029069082046104637,1.0,0.043401381043309595,0.009765625,1.0,0.09573342756973639,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),PriorClassifier,0.5207,0.0837,0.603,0.073,0.5,0.0,-0.0025,0.1766,-0.0028,0.1773,-0.0015,0.1762,0.3805927355357878,1.0,0.6986754742929286,0.6731600866233548,1.0,0.7055170445935635,0.3336610574251987,1.0,0.3931199716341175,0.043401381043309595,1.0,0.3603613229883825,0.09573342756973639,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),LogisticRegression,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.975257849517532e-14,8.049010111114989e-85,1.9269331981396968e-08,1.9269331981396965e-08,1.926933198139697e-07,5.113140866802374e-06,1.0,3.796821739712678e-05,3.876158767423604e-09,1.0,3.4498616036912465e-08,0.001953125,0.001953125,0.001953125,True,True,True,True,True,True,False,True,True,False,True,False,False,False
4,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),SGDClassifier,0.9966,0.0103,0.997,0.0091,1.0,0.0,0.993,0.0211,0.9932,0.0204,0.9941,0.0176,5.975257849517532e-14,9.73930223444848e-83,1.9269331981396968e-08,4.2392530359073364e-08,1.926933198139697e-07,4.52230758745603e-06,1.8834593024112688e-12,3.202141606219405e-05,3.3991425396026353e-09,1.0612540963439735e-15,2.854737828041463e-08,0.001953125,0.001953125,0.001953125,True,True,True,True,True,True,True,True,True,True,True,False,False,False
5,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),RidgeClassifier,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.975257849517532e-14,8.049010111114989e-85,1.9269331981396968e-08,1.9269331981396965e-08,1.926933198139697e-07,5.113140866802374e-06,1.0,3.796821739712678e-05,3.876158767423604e-09,1.0,3.4498616036912465e-08,0.001953125,0.001953125,0.001953125,True,True,True,True,True,True,False,True,True,False,True,False,False,False
6,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),LinearSVC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.975257849517532e-14,8.049010111114989e-85,1.9269331981396968e-08,1.9269331981396965e-08,1.926933198139697e-07,5.113140866802374e-06,1.0,3.796821739712678e-05,3.876158767423604e-09,1.0,3.4498616036912465e-08,0.001953125,0.001953125,0.001953125,True,True,True,True,True,True,False,True,True,False,True,False,False,False
7,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),DecisionTreeClassifier,0.8586,0.1741,0.8673,0.165,0.8902,0.1545,0.7132,0.3608,0.7243,0.3516,0.7196,0.3529,5.975257849517532e-14,1.327811333907678e-36,1.639820151616885e-05,0.11119816224527028,8.203918091079774e-05,0.010180778457391139,0.07155741663064921,0.033320415659480025,3.909192086440247e-05,0.0011293294036502262,0.0002693435402533096,0.001953125,0.005859375,0.001953125,True,True,True,False,True,False,False,False,True,True,True,False,False,False
8,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),ExtraTreeClassifier,0.769,0.1851,0.7851,0.196,0.7909,0.2198,0.5257,0.3805,0.5375,0.3763,0.5299,0.3792,6.692349500079374e-06,1.3745738393347188e-19,0.0015350913322979927,0.25126442177022157,0.008303106977454016,0.14999896485126654,0.2297185251138164,0.14137803489290215,0.005587964976531755,0.015900630617547932,0.0048709153217039464,0.024265276173783466,0.032815858973437854,0.01781718875957871,True,True,True,False,True,False,False,False,True,False,True,False,False,False
9,0X00 In Pkcs#1 Padding (First 8 Bytes After 0X00 0X02),RandomForestClassifier,0.9966,0.0103,0.9971,0.0086,1.0,0.0,0.9928,0.0216,0.993,0.0209,0.9917,0.025,5.975257849517532e-14,1.376380729000434e-82,1.9269331981396968e-08,5.2027196349771896e-08,1.926933198139697e-07,4.52230758745603e-06,1.8834593024112688e-12,3.202141606219405e-05,3.3991425396026353e-09,1.0612540963439735e-15,2.854737828041463e-08,0.001953125,0.001953125,0.001953125,True,True,True,True,True,True,True,True,True,True,True,False,False,False
